media,str_date,reprint,scores
21世纪经济报道,20191108,0,0
21世纪经济报道,20191108,1,0
证券日报,20191108,1,2
财联社,20191108,1,0
财联社,20191108,1,0
新浪,20191108,0,0
华夏时报,20191108,1,0
新浪,20191108,0,0
网易,20191108,0,0
北京商报,20191108,0,0
上海证券报,20191108,2,0
上海证券报,20191108,3,0
界面,20191108,0,0
中国证券报,20191108,1,0
界面,20191108,0,0
财联社,20191108,1,0
国际金融报,20191108,4,2
国际金融报,20191108,1,0
华夏时报,20191108,1,0
金融投资报,20191109,3,0
金融投资报,20191109,1,0
金融投资报,20191109,1,0
金融投资报,20191109,0,0
金融投资报,20191109,1,0
金融投资报,20191109,2,0
金融投资报,20191109,4,-1
金融投资报,20191109,5,0
金融投资报,20191109,2,0
新京报,20191109,1,0
新京报,20191109,0,0
新闻晨报,20191109,0,0
新闻晨报,20191109,0,2
新闻晨报,20191109,0,0
每日经济新闻,20191109,2,0
上海证券报,20191109,3,0
上海证券报,20191109,2,0
上海证券报,20191109,1,0
上海证券报,20191109,11,0
上海证券报,20191109,1,0
金融投资报,20191108,1,2
中国经营报,20191109,1,0
投资快报,20191109,0,0
投资快报,20191109,1,0
投资快报,20191109,0,0
投资快报,20191109,1,0
中国证券报,20191109,4,0
中国证券报,20191109,1,0
中国证券报,20191109,1,0
中国证券报,20191109,2,0
新浪,20191109,2,0
经济观察报,20191109,0,0
经济观察报,20191109,0,0
新浪,20191104,1,0
21世纪经济报道,20191109,0,0
21世纪经济报道,20191109,1,0
21世纪经济报道,20191109,1,0
21世纪经济报道,20191109,0,0
第一财经,20191109,2,0
经济观察报,20191109,1,0
国际金融报,20191109,11,0
中国证券报,20191109,1,-1
21世纪经济报道,20191109,1,0
中国证券报,20191108,1,2
第一财经,20191109,1,0
界面,20191109,0,0
新京报,20191109,0,0
新浪,20191105,0,2
每日经济新闻,20191109,1,0
新浪,20191105,0,2
金融投资报,20191108,0,2
国际金融报,20191109,4,0
中国经营报,20191109,4,2
澎湃,20191110,2,0
华夏时报,20191110,1,0
21世纪经济报道,20191110,2,0
财联社,20191110,2,0
财联社,20191110,1,0
财联社,20191110,1,0
第一财经,20191110,3,0
财联社,20191110,1,0
第一财经,20191110,2,0
第一财经,20191110,3,0
新京报,20191110,1,0
证券时报,20191110,0,0
中国证券报,20191110,1,0
21世纪经济报道,20191110,4,0
新浪,20191108,2,0
第一财经,20191110,3,0
第一财经,20191110,0,0
21世纪经济报道,20191110,1,0
财联社,20191110,1,0
财联社,20191110,2,0
财联社,20191110,1,0
21世纪经济报道,20191111,0,0
北京商报,20191110,0,0
北京商报,20191110,0,-1
北京商报,20191110,0,0
北京商报,20191111,3,0
证券日报,20191111,2,0
21世纪经济报道,20191109,23,0
北京商报,20191110,2,0
新京报,20191111,4,2
中华工商时报,20191111,0,0
中华工商时报,20191111,0,0
每日经济新闻,20191111,1,0
新浪,20191111,3,0
新浪,20191111,3,0
中国基金报,20191111,6,0
中国基金报,20191111,1,0
中国基金报,20191111,12,0
中国基金报,20191111,5,2
中国基金报,20191111,4,0
中国基金报,20191111,5,0
中国基金报,20191111,13,0
中国基金报,20191111,6,0
中国基金报,20191111,8,2
中国基金报,20191111,9,0
中国基金报,20191111,8,-1
中国基金报,20191111,9,0
中国基金报,20191111,4,0
中国基金报,20191111,2,0
中国基金报,20191111,6,0
中国基金报,20191111,11,0
中国基金报,20191111,9,0
中国基金报,20191111,8,2
中国基金报,20191111,9,0
中国基金报,20191111,8,-1
中国基金报,20191111,6,0
中国基金报,20191111,4,0
中国基金报,20191111,10,0
中国基金报,20191111,17,0
中国基金报,20191111,6,0
中国基金报,20191111,12,0
中国基金报,20191111,0,0
中国基金报,20191111,6,0
新闻晨报,20191111,0,0
新闻晨报,20191111,0,0
新浪,20191111,2,0
新浪,20191111,2,0
中国证券报,20191111,7,2
中国证券报,20191111,5,2
中国证券报,20191111,10,0
中国证券报,20191111,12,0
中国证券报,20191111,7,0
中国证券报,20191111,5,0
中国证券报,20191111,6,0
中国经济网,20191111,8,-2
电鳗快报,20191111,2,-2
投资快报,20191111,0,0
投资快报,20191111,0,0
上海证券报,20191111,6,0
金融界,20191111,0,0
上海证券报,20191111,5,0
上海证券报,20191111,6,2
上海证券报,20191111,4,0
上海证券报,20191111,4,0
上海证券报,20191111,7,2
上海证券报,20191111,9,2
上海证券报,20191111,7,0
上海证券报,20191111,6,0
上海证券报,20191111,8,0
上海证券报,20191111,8,0
